Clean_SMILES,pActivity,MolObject
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]3(CF)CS(=O)(=O)C(C)(C)C(N)=N3)c2)cn1,8.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7f5501616110>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(C(=O)CC(F)(F)F)C[C@H]3CSC(N)=N4)c2)cn1,8.024568191490737,<rdkit.Chem.rdchem.Mol object at 0x7f5501625000>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(C(=O)CC)C[C@H]3CSC(N)=N4)c2)cn1,8.627087997029893,<rdkit.Chem.rdchem.Mol object at 0x7f5501625460>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(C(=O)OC(C)(C)C)C[C@H]3CSC(N)=N4)c2)cn1,8.596879478824182,<rdkit.Chem.rdchem.Mol object at 0x7f55016255b0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(C(=O)OC(C)C)C[C@H]3CSC(N)=N4)c2)cn1,8.581698708680255,<rdkit.Chem.rdchem.Mol object at 0x7f5501625700>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(C(=O)OC)C[C@H]3CSC(N)=N4)c2)cn1,8.79860287567955,<rdkit.Chem.rdchem.Mol object at 0x7f55016077d0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(C(=O)OCC)C[C@H]3CSC(N)=N4)c2)cn1,8.346787486224656,<rdkit.Chem.rdchem.Mol object at 0x7f5501617ed0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(C(C)=O)C[C@H]3CSC(N)=N4)c2)cn1,8.127843727251708,<rdkit.Chem.rdchem.Mol object at 0x7f5501625620>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(c5ncccn5)C[C@H]3CSC(N)=N4)c2)cn1,9.730487055782083,<rdkit.Chem.rdchem.Mol object at 0x7f5501624890>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CO[C@H](C(F)(F)F)[C@H]3CSC(N)=N4)c2)cn1,6.987162775294828,<rdkit.Chem.rdchem.Mol object at 0x7f5501617370>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N(C)C)C[C@H]43)c2)cn1,8.721246399047171,<rdkit.Chem.rdchem.Mol object at 0x7f55015ec5f0>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CCOCC5)C[C@H]43)c2)cn1,8.744727494896694,<rdkit.Chem.rdchem.Mol object at 0x7f55017c2340>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CCOC[C@H]5C)C[C@H]43)c2)cn1,8.769551078621726,<rdkit.Chem.rdchem.Mol object at 0x7f55015df680>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CC[C@@H](F)C5)C[C@H]43)c2)cn1,9.096910013008056,<rdkit.Chem.rdchem.Mol object at 0x7f55017c3df0>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CC[C@H](F)C5)C[C@H]43)c2)cn1,8.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x7f55015df140>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5[C@H]6COC[C@@H]5COC6)C[C@H]43)c2)cn1,8.4089353929735,<rdkit.Chem.rdchem.Mol object at 0x7f55015ee1f0>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)NCC(F)F)C[C@H]43)c2)cn1,8.602059991327963,<rdkit.Chem.rdchem.Mol object at 0x7f55015dc2e0>
