Clean_SMILES,pActivity,MolObject
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N(C)C)C[C@H]43)c2)cn1,8.405607449624574,<rdkit.Chem.rdchem.Mol object at 0x7f5d067cb3e0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CCOCC5)C[C@H]43)c2)cn1,9.397940008672037,<rdkit.Chem.rdchem.Mol object at 0x7f5d065de030>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CCOC[C@H]5C)C[C@H]43)c2)cn1,9.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7f5d065df220>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CC[C@@H](F)C5)C[C@H]43)c2)cn1,9.045757490560675,<rdkit.Chem.rdchem.Mol object at 0x7f5d067c9ee0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CC[C@H](F)C5)C[C@H]43)c2)cn1,9.397940008672037,<rdkit.Chem.rdchem.Mol object at 0x7f5d065ddc40>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5[C@H]6COC[C@@H]5COC6)C[C@H]43)c2)cn1,8.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x7f5d067cac70>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)NC)C[C@H]43)c2)cn1,8.238824186844269,<rdkit.Chem.rdchem.Mol object at 0x7f5d065de7a0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)NCC(F)F)C[C@H]43)c2)cn1,8.721246399047171,<rdkit.Chem.rdchem.Mol object at 0x7f5d065dcb30>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(C)=O)C[C@H]43)c2)cn1,8.229147988357855,<rdkit.Chem.rdchem.Mol object at 0x7f5d065deb90>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(N)=O)C[C@H]43)c2)cn1,8.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x7f5d067caf80>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,7.943095148663527,<rdkit.Chem.rdchem.Mol object at 0x7f5d065dc660>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(S(C)(=O)=O)C[C@H]43)c2)cn1,9.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7f5d065df0d0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(c5ncc(C)o5)C[C@@H]34)c2)cn1,8.200659450546418,<rdkit.Chem.rdchem.Mol object at 0x7f5d065de6c0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@]4(CO)[C@H]3C4(F)F)c2)cn1,8.267606240177031,<rdkit.Chem.rdchem.Mol object at 0x7f5d065de3b0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)[C@]4(CF)CC[C@@H]3S4(=O)=O)c2)cn1,8.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x7f5d066044a0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]34CN(c5ncc(F)cn5)C[C@@H]3CSC(N)=N4)c2)cn1,9.826813731587727,<rdkit.Chem.rdchem.Mol object at 0x7f5d06614740>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]3(C)CO[C@@](C)(C(F)(F)F)C(N)=N3)c2)cn1,7.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7f5d066074c0>
