Clean_SMILES,pActivity,MolObject
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)N(C)S(=O)(=O)C34CC4)c2)cn1,7.795880017344075,<rdkit.Chem.rdchem.Mol object at 0x7f5360607e60>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)c2)cn1,6.548213564475709,<rdkit.Chem.rdchem.Mol object at 0x7f5360607f40>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)OC[C@@H]3OCC(F)(F)F)c2)cn1,6.818156412055227,<rdkit.Chem.rdchem.Mol object at 0x7f5360606180>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C#N)C[C@H]43)c2)cn1,8.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x7f53607cadc0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N(C)C)C[C@H]43)c2)cn1,8.405607449624574,<rdkit.Chem.rdchem.Mol object at 0x7f53607cb3e0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CCOCC5)C[C@H]43)c2)cn1,9.397940008672037,<rdkit.Chem.rdchem.Mol object at 0x7f53605de030>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CCOC[C@H]5C)C[C@H]43)c2)cn1,9.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7f53605df220>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CC[C@@H](F)C5)C[C@H]43)c2)cn1,9.045757490560675,<rdkit.Chem.rdchem.Mol object at 0x7f53607c9ee0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CC[C@H](F)C5)C[C@H]43)c2)cn1,9.397940008672037,<rdkit.Chem.rdchem.Mol object at 0x7f53605ddc40>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5[C@H]6COC[C@@H]5COC6)C[C@H]43)c2)cn1,8.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x7f53607cac70>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)NC)C[C@H]43)c2)cn1,8.238824186844269,<rdkit.Chem.rdchem.Mol object at 0x7f53605de7a0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)NCC(F)F)C[C@H]43)c2)cn1,8.721246399047171,<rdkit.Chem.rdchem.Mol object at 0x7f53605dcb30>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(C)=O)C[C@H]43)c2)cn1,8.229147988357855,<rdkit.Chem.rdchem.Mol object at 0x7f53605deb90>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(N)=O)C[C@H]43)c2)cn1,8.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x7f53607caf80>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,7.943095148663527,<rdkit.Chem.rdchem.Mol object at 0x7f53605dc660>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(S(C)(=O)=O)C[C@H]43)c2)cn1,9.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7f53605df0d0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(c5ncc(C)o5)C[C@@H]34)c2)cn1,8.200659450546418,<rdkit.Chem.rdchem.Mol object at 0x7f53605de6c0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@]4(CO)[C@H]3C4(F)F)c2)cn1,8.267606240177031,<rdkit.Chem.rdchem.Mol object at 0x7f53605de3b0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)[C@]4(CF)CC[C@@H]3S4(=O)=O)c2)cn1,8.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x7f53606044a0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]34CN(c5ncc(F)cn5)C[C@@H]3CSC(N)=N4)c2)cn1,9.826813731587727,<rdkit.Chem.rdchem.Mol object at 0x7f5360614740>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]3(C)CO[C@@](C)(C(F)(F)F)C(N)=N3)c2)cn1,7.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7f53606074c0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]3(C)CS(=O)(=O)C(C)(C)C(N)=N3)c2)cn1,9.0,<rdkit.Chem.rdchem.Mol object at 0x7f53605f4f20>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CCC4)C(N)=N3)c2)cn1,8.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x7f5360604970>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]3(C)CS(=O)(=O)N(C)C(N)=N3)c2)cn1,8.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x7f5360605700>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]3(CF)CS(=O)(=O)C(C)(C)C(N)=N3)c2)cn1,8.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7f5360606110>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(C(=O)CC(F)(F)F)C[C@H]3CSC(N)=N4)c2)cn1,8.024568191490737,<rdkit.Chem.rdchem.Mol object at 0x7f5360615000>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(C(=O)CC)C[C@H]3CSC(N)=N4)c2)cn1,8.627087997029893,<rdkit.Chem.rdchem.Mol object at 0x7f5360615460>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(C(=O)OC(C)(C)C)C[C@H]3CSC(N)=N4)c2)cn1,8.596879478824182,<rdkit.Chem.rdchem.Mol object at 0x7f53606155b0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(C(=O)OC(C)C)C[C@H]3CSC(N)=N4)c2)cn1,8.581698708680255,<rdkit.Chem.rdchem.Mol object at 0x7f5360615700>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(C(=O)OC)C[C@H]3CSC(N)=N4)c2)cn1,8.79860287567955,<rdkit.Chem.rdchem.Mol object at 0x7f53605f77d0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(C(=O)OCC)C[C@H]3CSC(N)=N4)c2)cn1,8.346787486224656,<rdkit.Chem.rdchem.Mol object at 0x7f5360607ed0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(C(C)=O)C[C@H]3CSC(N)=N4)c2)cn1,8.127843727251708,<rdkit.Chem.rdchem.Mol object at 0x7f5360615620>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(c5ncccn5)C[C@H]3CSC(N)=N4)c2)cn1,9.730487055782083,<rdkit.Chem.rdchem.Mol object at 0x7f5360614890>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CO[C@H](C(F)(F)F)[C@H]3CSC(N)=N4)c2)cn1,6.987162775294828,<rdkit.Chem.rdchem.Mol object at 0x7f5360607370>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N(C)C)C[C@H]43)c2)cn1,8.721246399047171,<rdkit.Chem.rdchem.Mol object at 0x7f53605dc5f0>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CCOCC5)C[C@H]43)c2)cn1,8.744727494896694,<rdkit.Chem.rdchem.Mol object at 0x7f53607b6340>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CCOC[C@H]5C)C[C@H]43)c2)cn1,8.769551078621726,<rdkit.Chem.rdchem.Mol object at 0x7f53607cb680>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CC[C@@H](F)C5)C[C@H]43)c2)cn1,9.096910013008056,<rdkit.Chem.rdchem.Mol object at 0x7f53607b7df0>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CC[C@H](F)C5)C[C@H]43)c2)cn1,8.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x7f53607cb140>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5[C@H]6COC[C@@H]5COC6)C[C@H]43)c2)cn1,8.4089353929735,<rdkit.Chem.rdchem.Mol object at 0x7f53605de1f0>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)NCC(F)F)C[C@H]43)c2)cn1,8.602059991327963,<rdkit.Chem.rdchem.Mol object at 0x7f53607c82e0>
