Clean_SMILES,pActivity,MolObject
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(C(=O)OCC)C[C@H]3CSC(N)=N4)c2)cn1,8.346787486224656,<rdkit.Chem.rdchem.Mol object at 0x7ff64db07ed0>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(C(C)=O)C[C@H]3CSC(N)=N4)c2)cn1,8.127843727251708,<rdkit.Chem.rdchem.Mol object at 0x7ff64db15620>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CN(c5ncccn5)C[C@H]3CSC(N)=N4)c2)cn1,9.730487055782083,<rdkit.Chem.rdchem.Mol object at 0x7ff64db14890>
C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@]34CO[C@H](C(F)(F)F)[C@H]3CSC(N)=N4)c2)cn1,6.987162775294828,<rdkit.Chem.rdchem.Mol object at 0x7ff64db07370>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N(C)C)C[C@H]43)c2)cn1,8.721246399047171,<rdkit.Chem.rdchem.Mol object at 0x7ff64dadc5f0>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CCOCC5)C[C@H]43)c2)cn1,8.744727494896694,<rdkit.Chem.rdchem.Mol object at 0x7ff64dcba340>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CCOC[C@H]5C)C[C@H]43)c2)cn1,8.769551078621726,<rdkit.Chem.rdchem.Mol object at 0x7ff64dccb680>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CC[C@@H](F)C5)C[C@H]43)c2)cn1,9.096910013008056,<rdkit.Chem.rdchem.Mol object at 0x7ff64dcbbdf0>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CC[C@H](F)C5)C[C@H]43)c2)cn1,8.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x7ff64dccb140>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5[C@H]6COC[C@@H]5COC6)C[C@H]43)c2)cn1,8.4089353929735,<rdkit.Chem.rdchem.Mol object at 0x7ff64dade1f0>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)NCC(F)F)C[C@H]43)c2)cn1,8.602059991327963,<rdkit.Chem.rdchem.Mol object at 0x7ff64dcc82e0>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)O)C[C@H]43)c2)cn1,7.158015195409886,<rdkit.Chem.rdchem.Mol object at 0x7ff64dcca420>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)OC)C[C@H]43)c2)cn1,8.050609993355087,<rdkit.Chem.rdchem.Mol object at 0x7ff64dadf760>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@]3(C)CS(=O)(=O)C(C)(C)C(N)=N3)c2)cn1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7ff64daf6340>
C#CCOc1cnc(C(=O)Cc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(CN)C[C@H]43)c2)cn1,8.5016894462104,<rdkit.Chem.rdchem.Mol object at 0x7ff64dc938b0>
C#CCOc1cnc(C(=O)Cc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(CNC(=O)OC(C)(C)C)C[C@H]43)c2)cn1,9.341988603342887,<rdkit.Chem.rdchem.Mol object at 0x7ff64dcaa8f0>
C#CCOc1cnc(C(=O)Nc2cc(C)c(F)c([C@@]3(C)N=C(N)S[C@@]4(C(F)F)C[C@@H]34)c2)cn1,9.494850021680094,<rdkit.Chem.rdchem.Mol object at 0x7ff64dc91f50>
C#CCOc1cnc(C(=O)Nc2cc(C)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,9.453457336521868,<rdkit.Chem.rdchem.Mol object at 0x7ff64dc93840>
